Wavelength,Deoxy,Oxy
600,3.170199,1.02419
601,3.008515,0.9653859
602,2.854807,0.9093505
603,2.70887,0.856014
604,2.570499,0.8053063
605,2.43949,0.7571575
606,2.315637,0.7114978
607,2.198736,0.6682571
608,2.088583,0.6273656
609,1.984973,0.5887534
610,1.887701,0.5523506
611,1.796562,0.5180872
612,1.711352,0.4858932
613,1.631866,0.4556989
614,1.5579,0.4274343
615,1.489248,0.4010295
616,1.425706,0.3764144
617,1.36707,0.3535194
618,1.313134,0.3322743
619,1.263694,0.3126094
620,1.218545,0.2944546
621,1.177483,0.2777401
622,1.140303,0.2623959
623,1.1068,0.2483522
624,1.07677,0.235539
625,1.050007,0.2238864
626,1.026308,0.2133245
627,1.005467,0.2037833
628,0.9872797,0.195193
629,0.9715416,0.1874836
630,0.9580481,0.1805853
631,0.9465942,0.174428
632,0.9369755,0.168942
633,0.9289871,0.1640572
634,0.9224243,0.1597037
635,0.9170827,0.1558117
636,0.9127573,0.1523112
637,0.9092436,0.1491323
638,0.9063368,0.1462051
639,0.9038323,0.1434597
640,0.9015254,0.1408261
641,0.899229,0.1382457
642,0.8968261,0.1357048
643,0.8942176,0.1332011
644,0.8913041,0.130732
645,0.8879863,0.1282952
646,0.8841649,0.1258882
647,0.8797407,0.1235087
648,0.8746142,0.1211543
649,0.8686863,0.1188224
650,0.8618576,0.1165108
651,0.8541802,0.11424
652,0.846312,0.1121224
653,0.839062,0.1102938
654,0.8329906,0.1088445
655,0.8276622,0.1076841
656,0.8223924,0.1066773
657,0.8164967,0.1056887
658,0.8094514,0.1046193
659,0.8013758,0.1035167
660,0.7925498,0.102465
661,0.7833078,0.1015376
662,0.7742021,0.1007638
663,0.7658398,0.1001625
664,0.758566,0.09973894
665,0.7516793,0.09944611
666,0.7442168,0.09922363
667,0.7352154,0.09901116
668,0.7241318,0.0987665
669,0.7121007,0.09852006
670,0.7006766,0.09832038
671,0.6909574,0.09820242
672,0.6822143,0.09814675
673,0.6732617,0.09812033
674,0.6629142,0.09809012
675,0.6504695,0.09803102
676,0.6371576,0.09794947
677,0.6246913,0.09785987
678,0.6143092,0.09777175
679,0.6053502,0.09767535
680,0.5966787,0.09755608
681,0.5871592,0.09739935
682,0.5759753,0.09719613
683,0.5635882,0.09695962
684,0.5507784,0.09670857
685,0.5382837,0.09646034
686,0.5266723,0.09622665
687,0.5164698,0.0960178
688,0.5079694,0.09584286
689,0.5005345,0.0957059
